key,en,nl
dialogue/1_intro.dialogue_3,"It's quite dark though, we should light up the room first.","Het is hier best donker, we moeten eerst de kamer verlichten."
dialogue/2_died.dialogue_1,You fainted from smelling the experimental drinks too many times. Restarting room now...,Je viel flauw door te vaak aan de experimentele drankjes te ruiken. De kamer wordt opnieuw gestart...
dialogue/2_finished.dialogue_1,A ha! So she was drinking Bio-Synergy before she disappeared.,Aha! Dus ze dronk Bio-Synergy voordat ze verdween.
dialogue/2_finished.dialogue_2,Let me see... There's some white powder left on the walls after the liquid has dried out. It seems to be some remainent of a kind of [wave]sleeping powder[/wave]...,Eens kijken... Er zit wat wit poeder op de muren nadat de vloeistof is opgedroogd. Het lijkt restmateriaal van een soort [wave]slaappoeder[/wave]...
dialogue/2_finished.dialogue_3,But kamilla never used sleep medication... This must mean that Kamilla was kidnapped! Now we need to figure out why she was kidnapped. What special thing did she develop? Let's look at the instrument Kamilla uses so often in the lab.,Maar Kamilla gebruikte nooit slaapmiddelen... Dit moet betekenen dat ze is ontvoerd! Nu moeten we uitzoeken waarom ze is ontvoerd. Wat ontwikkelde ze dat zo bijzonder was? Laten we kijken naar het instrument dat Kamilla zo vaak in het lab gebruikte.
dialogue/2_intro.dialogue_1,This is Kamilla's workspace.,Dit is Kamilla’s werkplek.
dialogue/2_intro.dialogue_2,I know that Kamilla had a sensitive tooth and couldn't drink anything with a [wave]pH below 7[/wave]. Maybe figuring out what she drank before she disappeared can help us understand where she went?,"Ik weet dat Kamilla een gevoelige tand had en niets kon drinken met een [wave]pH lager dan 7[/wave]. Misschien helpt het om uit te zoeken wat ze dronk voordat ze verdween, zodat we begrijpen waar ze heen ging."
dialogue/2_wrong_drink.dialogue_1,"[i]smells drink[/i] Uh oh, something in the drink is making me dizzy. This doesn't seem to be the right drink... (hint: choosing the wrong drink too many times will have consequences)","[i]ruikt aan drankje[/i] Oei, iets in het drankje maakt me duizelig. Dit lijkt niet het juiste drankje te zijn... (tip: te vaak het verkeerde drankje kiezen heeft gevolgen)"
dialogue/3_correct_virus.dialogue_1,So Kamilla was working on the antiVirus HelixA. We're closer to the truth...,Dus Kamilla werkte aan het antivirus HelixA. We komen dichter bij de waarheid...
dialogue/3_intro.dialogue_1,"Kamilla was working on antivirus for some kind of virus before she got kidnapped. Although I'm not sure which antivirus she created, I have a feeling it must have something to do with her kidnapping...","Kamilla werkte aan een antivirus voor een of ander virus voordat ze werd ontvoerd. Hoewel ik niet zeker weet welk antivirus ze had gemaakt, heb ik het gevoel dat het iets met haar ontvoering te maken heeft..."
dialogue/3_microscope.dialogue_1,I see pandora AV in the microscope.,Ik zie Pandora AV in de microscoop.
dialogue/3_virus_pressed.dialogue_1,[i]*You added {{Events.virus}} to the antivirus.*[i],[i]*Je hebt {{Events.virus}} aan het antivirus toegevoegd.*[i]
dialogue/3_virus_pressed.dialogue_2,You observed that nexa_3 was not neutralized.,Je zag dat nexa_3 niet geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_3,You observed zytphera was partially neutralized.,Je zag dat zytphera gedeeltelijk geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_4,You observed that pandora_x was neutralized.,Je zag dat pandora_x geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_5,You observed that Helixona was not neutralized.,Je zag dat Helixona niet geneutraliseerd werd.
dialogue/3_wrong_virus.dialogue_1,This doesn't seem to be the correct virus.,Dit lijkt niet het juiste virus te zijn.
dialogue/4_computer.dialogue_1,There's no electricity to power the computer.,Er is geen stroom om de computer van energie te voorzien.
dialogue/4_fuel_combined.dialogue_1,*pulls cord*,*trekt aan koord*
dialogue/4_fuel_combined.dialogue_2,These 2 fuels aren't providing enough energy,Deze twee brandstoffen leveren niet genoeg energie.
dialogue/4_fuel_combined.dialogue_3,These 2 fuels aren't triggering any reactions...,Deze twee brandstoffen veroorzaken geen enkele reactie...
dialogue/4_fuel_combined.dialogue_4,this is the one!,dit is ‘m!
dialogue/5_intro.dialogue_1,We're so close... I have a feeling that once we crack her computer we will know the answer once and for all!,"We zijn zo dichtbij... Ik heb het gevoel dat we, zodra we haar computer kraken, het antwoord eindelijk zullen weten!"
